,Generation,Counts,Number of errors,Special training,Percentage of Special Training,Average errors per rat
0,2,7,254,0,0.0,36.285714285714285
1,3,24,1808,8,33.33333333333333,75.33333333333333
2,4,23,1223,1,4.3478260869565215,53.17391304347826
3,5,20,933,1,5.0,46.65
4,6,22,714,1,4.545454545454546,32.45454545454545
5,7,33,1389,1,3.0303030303030303,42.09090909090909
6,8,16,483,1,6.25,30.1875
7,9,47,1811,2,4.25531914893617,38.53191489361702
8,10,37,1973,3,8.108108108108109,53.32432432432432
9,11,60,1994,3,5.0,33.233333333333334
10,12,33,1065,3,9.090909090909092,32.27272727272727
11,13,11,537,1,9.090909090909092,48.81818181818182
12,14,37,716,0,0.0,19.35135135135135
13,15,50,1502,1,2.0,30.04
14,16,50,1174,0,0.0,23.48
15,17,50,1683,4,8.0,33.66
16,18,50,2542,8,16.0,50.84
17,19,50,1157,1,2.0,23.14
18,20,50,1869,5,10.0,37.38
19,21,34,519,0,0.0,15.264705882352942
20,22,50,1441,1,2.0,28.82
21,23,50,1478,1,2.0,29.56
22,24,49,1267,1,2.0408163265306123,25.857142857142858
23,25,50,1228,0,0.0,24.56
24,26,50,1252,1,2.0,25.04
25,27,50,1139,1,2.0,22.78
26,28,47,1236,1,2.127659574468085,26.29787234042553
27,29,50,1458,2,4.0,29.16
28,30,24,881,0,0.0,36.708333333333336
29,31,26,788,1,3.8461538461538463,30.307692307692307
30,32,50,1218,2,4.0,24.36
31,33,49,1344,2,4.081632653061225,27.428571428571427
32,34,50,2510,4,8.0,50.2
33,35,50,2062,4,8.0,41.24
34,36,50,1704,3,6.0,34.08
35,37,50,2225,6,12.0,44.5
36,38,50,2006,4,8.0,40.12
37,39,50,1591,0,0.0,31.82
38,40,33,918,1,3.0303030303030303,27.818181818181817
39,41,60,1494,0,0.0,24.9
40,42,57,1921,3,5.263157894736842,33.70175438596491
41,43,51,1727,4,7.8431372549019605,33.86274509803921
42,44,59,1576,3,5.084745762711865,26.71186440677966
43,45,71,1331,0,0.0,18.746478873239436
44,46,69,1829,1,1.4492753623188406,26.507246376811594
45,47,73,1767,1,1.36986301369863,24.205479452054796
46,48,60,1334,0,0.0,22.233333333333334
47,49,69,1944,2,2.898550724637681,28.17391304347826
48,50,100,2185,2,2.0,21.85
