,Date reported,Generation,Group,Subgroup,Number of errors,Special training
0,1935,1,Trained,Trained,32,0
1,1935,1,Trained,Trained,50,0
2,1935,1,Trained,Trained,58,0
3,1935,1,Trained,Trained,70,0
4,1935,1,Trained,Trained,151,1
5,1935,2,Trained,Trained,21,0
6,1935,2,Trained,Trained,24,0
7,1935,2,Trained,Trained,28,0
8,1935,2,Trained,Trained,28,0
9,1935,2,Trained,Trained,34,0
10,1935,2,Trained,Trained,38,0
11,1935,2,Trained,Trained,40,0
12,1935,2,Trained,Trained,40,0
13,1935,2,Trained,Trained,42,0
14,1935,2,Trained,Trained,46,0
15,1935,2,Trained,Trained,54,0
16,1935,2,Trained,Trained,71,0
17,1935,2,Trained,Trained,88,0
18,1935,2,Trained,Trained,151,1
19,1935,2,Trained,Trained,151,1
20,1935,2,Control,Control,24,0
21,1935,2,Control,Control,30,0
22,1935,2,Control,Control,35,0
23,1935,2,Control,Control,36,0
24,1935,2,Control,Control,36,0
25,1935,2,Control,Control,37,0
26,1935,2,Control,Control,56,0
27,1935,3,Trained,Trained,11,0
28,1935,3,Trained,Trained,14,0
29,1935,3,Trained,Trained,20,0
30,1935,3,Trained,Trained,25,0
31,1935,3,Trained,Trained,26,0
32,1935,3,Trained,Trained,30,0
33,1935,3,Trained,Trained,32,0
34,1935,3,Trained,Trained,32,0
35,1935,3,Trained,Trained,35,0
36,1935,3,Trained,Trained,36,0
37,1935,3,Trained,Trained,38,0
38,1935,3,Trained,Trained,38,0
39,1935,3,Trained,Trained,41,0
40,1935,3,Trained,Trained,42,0
41,1935,3,Trained,Trained,42,0
42,1935,3,Trained,Trained,51,0
43,1935,3,Trained,Trained,54,0
44,1935,3,Trained,Trained,54,0
45,1935,3,Trained,Trained,54,0
46,1935,3,Trained,Trained,58,0
47,1935,3,Trained,Trained,69,0
48,1935,3,Trained,Trained,98,0
49,1935,3,Trained,Trained,121,0
50,1935,3,Trained,Trained,151,1
51,1935,3,Trained,Trained,151,1
52,1935,3,Control,Control,17,0
53,1935,3,Control,Control,20,0
54,1935,3,Control,Control,22,0
55,1935,3,Control,Control,27,0
56,1935,3,Control,Control,28,0
57,1935,3,Control,Control,29,0
58,1935,3,Control,Control,32,0
59,1935,3,Control,Control,33,0
60,1935,3,Control,Control,34,0
61,1935,3,Control,Control,39,0
62,1935,3,Control,Control,42,0
63,1935,3,Control,Control,45,0
64,1935,3,Control,Control,47,0
65,1935,3,Control,Control,53,0
66,1935,3,Control,Control,65,0
67,1935,3,Control,Control,67,0
68,1935,3,Control,Control,151,1
69,1935,3,Control,Control,151,1
70,1935,3,Control,Control,151,1
71,1935,3,Control,Control,151,1
72,1935,3,Control,Control,151,1
73,1935,3,Control,Control,151,1
74,1935,3,Control,Control,151,1
75,1935,3,Control,Control,151,1
76,1935,4,Trained,Trained,18,0
77,1935,4,Trained,Trained,18,0
78,1935,4,Trained,Trained,19,0
79,1935,4,Trained,Trained,20,0
80,1935,4,Trained,Trained,23,0
81,1935,4,Trained,Trained,24,0
82,1935,4,Trained,Trained,24,0
83,1935,4,Trained,Trained,25,0
84,1935,4,Trained,Trained,27,0
85,1935,4,Trained,Trained,31,0
86,1935,4,Trained,Trained,36,0
87,1935,4,Trained,Trained,51,0
88,1935,4,Trained,Trained,62,0
89,1935,4,Trained,Trained,65,0
90,1935,4,Trained,Trained,81,0
91,1935,4,Trained,Trained,123,0
92,1935,4,Trained,Trained,136,0
93,1935,4,Trained,Trained,151,1
94,1935,4,Trained,Trained,151,1
95,1935,4,Control,Control,12,0
96,1935,4,Control,Control,15,0
97,1935,4,Control,Control,18,0
98,1935,4,Control,Control,18,0
99,1935,4,Control,Control,21,0
100,1935,4,Control,Control,27,0
101,1935,4,Control,Control,28,0
102,1935,4,Control,Control,29,0
103,1935,4,Control,Control,29,0
104,1935,4,Control,Control,30,0
105,1935,4,Control,Control,31,0
106,1935,4,Control,Control,34,0
107,1935,4,Control,Control,36,0
108,1935,4,Control,Control,42,0
109,1935,4,Control,Control,45,0
110,1935,4,Control,Control,56,0
111,1935,4,Control,Control,72,0
112,1935,4,Control,Control,78,0
113,1935,4,Control,Control,80,0
114,1935,4,Control,Control,94,0
115,1935,4,Control,Control,134,0
116,1935,4,Control,Control,143,0
117,1935,4,Control,Control,151,1
118,1935,5,Trained,Trained,2,0
119,1935,5,Trained,Trained,21,0
120,1935,5,Trained,Trained,24,0
121,1935,5,Trained,Trained,25,0
122,1935,5,Trained,Trained,27,0
123,1935,5,Trained,Trained,31,0
124,1935,5,Trained,Trained,31,0
125,1935,5,Trained,Trained,34,0
126,1935,5,Trained,Trained,35,0
127,1935,5,Trained,Trained,39,0
128,1935,5,Trained,Trained,44,0
129,1935,5,Trained,Trained,45,0
130,1935,5,Trained,Trained,48,0
131,1935,5,Trained,Trained,60,0
132,1935,5,Trained,Trained,60,0
133,1935,5,Trained,Trained,67,0
134,1935,5,Trained,Trained,79,0
135,1935,5,Trained,Trained,87,0
136,1935,5,Trained,Trained,99,0
137,1935,5,Trained,Trained,142,0
138,1935,5,Trained,Trained,151,1
139,1935,5,Trained,Trained,151,1
140,1935,5,Control,Control,17,0
141,1935,5,Control,Control,23,0
142,1935,5,Control,Control,28,0
143,1935,5,Control,Control,29,0
144,1935,5,Control,Control,29,0
145,1935,5,Control,Control,32,0
146,1935,5,Control,Control,32,0
147,1935,5,Control,Control,35,0
148,1935,5,Control,Control,35,0
149,1935,5,Control,Control,35,0
150,1935,5,Control,Control,38,0
151,1935,5,Control,Control,40,0
152,1935,5,Control,Control,43,0
153,1935,5,Control,Control,45,0
154,1935,5,Control,Control,48,0
