Date reported,Generation,Group,Subgroup,Number of errors,Special training
1935,1,Trained,Trained,32,0
1935,1,Trained,Trained,50,0
1935,1,Trained,Trained,58,0
1935,1,Trained,Trained,70,0
1935,1,Trained,Trained,151,1
1935,2,Trained,Trained,21,0
1935,2,Trained,Trained,24,0
1935,2,Trained,Trained,28,0
1935,2,Trained,Trained,28,0
1935,2,Trained,Trained,34,0
1935,2,Trained,Trained,38,0
1935,2,Trained,Trained,40,0
1935,2,Trained,Trained,40,0
1935,2,Trained,Trained,42,0
1935,2,Trained,Trained,46,0
1935,2,Trained,Trained,54,0
1935,2,Trained,Trained,71,0
1935,2,Trained,Trained,88,0
1935,2,Trained,Trained,151,1
1935,2,Trained,Trained,151,1
1935,2,Control,Control,24,0
1935,2,Control,Control,30,0
1935,2,Control,Control,35,0
1935,2,Control,Control,36,0
1935,2,Control,Control,36,0
1935,2,Control,Control,37,0
1935,2,Control,Control,56,0
1935,3,Trained,Trained,11,0
1935,3,Trained,Trained,14,0
1935,3,Trained,Trained,20,0
1935,3,Trained,Trained,25,0
1935,3,Trained,Trained,26,0
1935,3,Trained,Trained,30,0
1935,3,Trained,Trained,32,0
1935,3,Trained,Trained,32,0
1935,3,Trained,Trained,35,0
1935,3,Trained,Trained,36,0
1935,3,Trained,Trained,38,0
1935,3,Trained,Trained,38,0
1935,3,Trained,Trained,41,0
1935,3,Trained,Trained,42,0
1935,3,Trained,Trained,42,0
1935,3,Trained,Trained,51,0
1935,3,Trained,Trained,54,0
1935,3,Trained,Trained,54,0
1935,3,Trained,Trained,54,0
1935,3,Trained,Trained,58,0
1935,3,Trained,Trained,69,0
1935,3,Trained,Trained,98,0
1935,3,Trained,Trained,121,0
1935,3,Trained,Trained,151,1
1935,3,Trained,Trained,151,1
1935,3,Control,Control,17,0
1935,3,Control,Control,20,0
1935,3,Control,Control,22,0
1935,3,Control,Control,27,0
1935,3,Control,Control,28,0
1935,3,Control,Control,29,0
1935,3,Control,Control,32,0
1935,3,Control,Control,33,0
1935,3,Control,Control,34,0
1935,3,Control,Control,39,0
1935,3,Control,Control,42,0
1935,3,Control,Control,45,0
1935,3,Control,Control,47,0
1935,3,Control,Control,53,0
1935,3,Control,Control,65,0
1935,3,Control,Control,67,0
1935,3,Control,Control,151,1
1935,3,Control,Control,151,1
1935,3,Control,Control,151,1
1935,3,Control,Control,151,1
1935,3,Control,Control,151,1
1935,3,Control,Control,151,1
1935,3,Control,Control,151,1
1935,3,Control,Control,151,1
1935,4,Trained,Trained,18,0
1935,4,Trained,Trained,18,0
1935,4,Trained,Trained,19,0
1935,4,Trained,Trained,20,0
1935,4,Trained,Trained,23,0
1935,4,Trained,Trained,24,0
1935,4,Trained,Trained,24,0
1935,4,Trained,Trained,25,0
1935,4,Trained,Trained,27,0
1935,4,Trained,Trained,31,0
1935,4,Trained,Trained,36,0
1935,4,Trained,Trained,51,0
1935,4,Trained,Trained,62,0
1935,4,Trained,Trained,65,0
1935,4,Trained,Trained,81,0
1935,4,Trained,Trained,123,0
1935,4,Trained,Trained,136,0
1935,4,Trained,Trained,151,1
1935,4,Trained,Trained,151,1
1935,4,Control,Control,12,0
1935,4,Control,Control,15,0
1935,4,Control,Control,18,0
1935,4,Control,Control,18,0
1935,4,Control,Control,21,0
1935,4,Control,Control,27,0
1935,4,Control,Control,28,0
1935,4,Control,Control,29,0
1935,4,Control,Control,29,0
1935,4,Control,Control,30,0
1935,4,Control,Control,31,0
1935,4,Control,Control,34,0
1935,4,Control,Control,36,0
1935,4,Control,Control,42,0
1935,4,Control,Control,45,0
1935,4,Control,Control,56,0
1935,4,Control,Control,72,0
1935,4,Control,Control,78,0
1935,4,Control,Control,80,0
1935,4,Control,Control,94,0
1935,4,Control,Control,134,0
1935,4,Control,Control,143,0
1935,4,Control,Control,151,1
1935,5,Trained,Trained,2,0
1935,5,Trained,Trained,21,0
1935,5,Trained,Trained,24,0
1935,5,Trained,Trained,25,0
1935,5,Trained,Trained,27,0
1935,5,Trained,Trained,31,0
1935,5,Trained,Trained,31,0
1935,5,Trained,Trained,34,0
1935,5,Trained,Trained,35,0
1935,5,Trained,Trained,39,0
1935,5,Trained,Trained,44,0
1935,5,Trained,Trained,45,0
1935,5,Trained,Trained,48,0
1935,5,Trained,Trained,60,0
1935,5,Trained,Trained,60,0
1935,5,Trained,Trained,67,0
1935,5,Trained,Trained,79,0
1935,5,Trained,Trained,87,0
1935,5,Trained,Trained,99,0
1935,5,Trained,Trained,142,0
1935,5,Trained,Trained,151,1
1935,5,Trained,Trained,151,1
1935,5,Control,Control,17,0
1935,5,Control,Control,23,0
1935,5,Control,Control,28,0
1935,5,Control,Control,29,0
1935,5,Control,Control,29,0
1935,5,Control,Control,32,0
1935,5,Control,Control,32,0
1935,5,Control,Control,35,0
1935,5,Control,Control,35,0
1935,5,Control,Control,35,0
1935,5,Control,Control,38,0
1935,5,Control,Control,40,0
1935,5,Control,Control,43,0
1935,5,Control,Control,45,0
1935,5,Control,Control,48,0
1935,5,Control,Control,49,0
1935,5,Control,Control,50,0
1935,5,Control,Control,52,0
1935,5,Control,Control,122,0
1935,5,Control,Control,151,1
1942,6,Trained,Trained,18,0
1942,6,Trained,Trained,19,0
1942,6,Trained,Trained,20,0
1942,6,Trained,Trained,20,0
1942,6,Trained,Trained,24,0
1942,6,Trained,Trained,26,0
1942,6,Trained,Trained,29,0
1942,6,Trained,Trained,29,0
1942,6,Trained,Trained,29,0
1942,6,Trained,Trained,30,0
1942,6,Trained,Trained,32,0
1942,6,Trained,Trained,33,0
1942,6,Trained,Trained,37,0
1942,6,Trained,Trained,41,0
1942,6,Trained,Trained,43,0
1942,6,Trained,Trained,43,0
1942,6,Trained,Trained,45,0
1942,6,Trained,Trained,56,0
1942,6,Trained,Trained,70,0
1942,6,Trained,Trained,151,1
1942,6,Trained,Trained,151,1
1942,6,Trained,Trained,151,1
1942,6,Control,Control,3,0
1942,6,Control,Control,5,0
1942,6,Control,Control,8,0
1942,6,Control,Control,9,0
1942,6,Control,Control,13,0
1942,6,Control,Control,13,0
1942,6,Control,Control,17,0
1942,6,Control,Control,19,0
1942,6,Control,Control,20,0
1942,6,Control,Control,22,0
1942,6,Control,Control,23,0
1942,6,Control,Control,25,0
1942,6,Control,Control,27,0
1942,6,Control,Control,27,0
1942,6,Control,Control,28,0
1942,6,Control,Control,30,0
1942,6,Control,Control,31,0
1942,6,Control,Control,33,0
1942,6,Control,Control,47,0
1942,6,Control,Control,66,0
1942,6,Control,Control,97,0
1942,6,Control,Control,151,1
1942,7,Trained,Trained,0,0
1942,7,Trained,Trained,3,0
1942,7,Trained,Trained,16,0
1942,7,Trained,Trained,16,0
1942,7,Trained,Trained,18,0
1942,7,Trained,Trained,18,0
1942,7,Trained,Trained,19,0
1942,7,Trained,Trained,19,0
1942,7,Trained,Trained,19,0
1942,7,Trained,Trained,23,0
1942,7,Trained,Trained,24,0
1942,7,Trained,Trained,26,0
1942,7,Trained,Trained,27,0
1942,7,Trained,Trained,28,0
1942,7,Trained,Trained,28,0
1942,7,Trained,Trained,29,0
1942,7,Trained,Trained,29,0
1942,7,Trained,Trained,32,0
1942,7,Trained,Trained,38,0
1942,7,Trained,Trained,39,0
1942,7,Trained,Trained,41,0
1942,7,Trained,Trained,41,0
1942,7,Trained,Trained,42,0
1942,7,Trained,Trained,44,0
1942,7,Trained,Trained,56,0
1942,7,Trained,Trained,84,0
1942,7,Trained,Trained,94,0
1942,7,Trained,Trained,105,0
1942,7,Trained,Trained,151,1
1942,7,Trained,Trained,151,1
1942,7,Trained,Trained,151,1
1942,7,Control,Control,8,0
1942,7,Control,Control,9,0
1942,7,Control,Control,11,0
1942,7,Control,Control,15,0
1942,7,Control,Control,16,0
1942,7,Control,Control,21,0
1942,7,Control,Control,21,0
1942,7,Control,Control,21,0
